class,check,variable
91,"[""FREE_arg_ret"", null, ""FREE_arg_ret"", null]",[]
712,"[""FREE_arg_ret"", null]",[]
92,"[""mbox_sync_mailbox_arg"", null]",[]
93,"[""mutt_is_spool_ret"", ""sizeof_arg""]",[]
535,"[""option_ret"", ""mx_fastclose_mailbox_arg_ret"", null, ""mx_fastclose_mailbox_arg_ret"", null, null]",[]
94,"[""mutt_set_flag_arg_ret"", null]",[]
536,"[""query_quadoption_ret""]",[]
683,"[""km_expand_key_ret"", ""km_find_func_ret""]",[]
95,"[""trash_append_arg"", null]",[]
537,"[""trash_append_arg"", ""mutt_message_arg""]",[]
96,"[""sync_mailbox_arg_ret"", null]",[]
97,"["" dest mx_ops open_new_msg_arg_ret"", null, null]","[null, "" dest mx_ops open_new_msg_arg_ret"", null]"
98,"["" dest mx_ops open_new_msg_arg_ret"", null, null, "" dest mx_ops open_new_msg_arg_ret"", null, null, ""int"", null]","[""NONULL_ret"", ""ctime_ret"", "" dest mx_ops open_new_msg_arg_ret"", null, ""ADDRESS"", ""ADDRESS"", null]"
99,"[""mutt_atoi_ret""]",[]
100,"["" conn conn_read_ret""]",[]
101,"["" conn conn_read_arg_ret"", null]",[]
