class,class_size,check,variable
1249,1,"[""strcmp_ret""]","[""verify_merge_base_arg"", ""memcmp_arg_ret""]"
1250,1,"[""has_object_file_ret""]","[""oid_to_hex_ret""]"
1251,1,"[""is_null_oid_ret""]","[""verify_merge_base_arg"", ""memcmp_arg_ret""]"
1252,1,"[""has_object_file_ret""]","[""oid_to_hex_ret"", ""verify_merge_base_arg"", ""memcmp_arg_ret""]"
1253,1,"[""verify_merge_base_ret""]","[""verify_merge_base_arg_ret"", ""memcmp_arg_ret"", null, ""curl_setup_http_get_arg"", ""memcmp_arg_ret""]"
1254,1,"[""verify_merge_base_ret""]","[null, ""verify_merge_base_arg_ret"", ""memcmp_arg_ret""]"
1255,1,"["" struct slot_results"", null, null]","["" struct slot_results"", null, "" struct slot_results"", null]"
1256,1,"[""int"", ""match_push_refs_arg""]",[]
1257,1,"[""lock_remote_ret""]",[]
1258,1,"[""lock_remote_ret""]",[null]
1259,1,"[""delete_remote_branch_ret""]","[null, ""match_push_refs_arg""]"
1260,1,[null],"[""match_push_refs_arg""]"
1261,1,"[""match_push_refs_arg_ret""]",[null]
1262,1,"[""delete_remote_branch_ret""]","["" struct ref"", null]"
3170,6,[null],"["" struct ref"", null]"
2916,2,[null],"[null, "" struct ref"", null]"
1263,1,"[""has_object_file_ret"", ""ref_newer_ret""]","["" struct ref"", null, "" struct ref"", null, null]"
1264,1,"[""strcmp_ret""]","[null, "" struct ref"", null, null]"
1265,1,"[""strcmp_ret""]","[""oid_to_hex_ret"", ""oid_to_hex_ret"", null]"
1266,1,"[""lock_remote_ret"", ""setup_revisions_arg""]","[null, "" struct ref"", null]"
1267,1,"[""get_delta_ret""]","[null, ""get_delta_ret""]"
1268,1,[null],"[""int"", "" struct ref"", null]"
2917,2,"[""lock_remote_ret"", ""xcalloc_ret"", null]",[null]
2918,2,"[""is_null_oid_ret"", ""commit_patch_id_ret""]","[""oid_to_hex_ret""]"
2919,2,"[""init_tree_desc_internal_ret""]","[""init_tree_desc_internal_arg_ret"", null]"
